Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_000010985	SSU_1:SSU_2	1:1	Deferribacter desulfuricans SSM1	Deferribacter desulfuricans	SSM1
GCA_000011005	SSU_1	2	Methanocella paludicola SANAE	Methanocella paludicola	SANAE
GCA_000011025	SSU_1	3	Rothia mucilaginosa DY-18	Rothia mucilaginosa	DY-18
GCA_000011045	SSU_2:SSU_3:SSU_1	2:2:1	Lactobacillus rhamnosus GG	Lactobacillus rhamnosus	ATCC 53103
GCA_000011065	SSU_1:SSU_2:SSU_3	2:2:1	Bacteroides thetaiotaomicron VPI-5482	Bacteroides thetaiotaomicron	VPI-5482
GCA_000011085	SSU_1:SSU_2:SSU_3	1:1:1	Haloarcula marismortui ATCC 43049	Haloarcula marismortui	ATCC 43049
GCA_000011105	SSU_1	1	Pyrococcus horikoshii OT3	Pyrococcus horikoshii	OT3
GCA_000011125	SSU_1	1	Aeropyrum pernix K1	Aeropyrum pernix	K1
GCA_000011145	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Bacillus halodurans C-125	Bacillus halodurans	C-125
GCA_000011185	SSU_1	1	Thermoplasma volcanium GSS1	Thermoplasma volcanium	GSS1
GCA_000011205	SSU_1	1	Sulfurisphaera tokodaii str. 7	Sulfurisphaera tokodaii	7
GCA_000011225	SSU_1	1	Mycoplasma penetrans HF-2	Mycoplasma penetrans	HF-2
GCA_000011245	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	3:1:1:1:1	Oceanobacillus iheyensis HTE831	Oceanobacillus iheyensis	HTE831
GCA_000011265	SSU_2:SSU_1:SSU_3:SSU_4	3:1:1:1	Staphylococcus aureus subsp. aureus MW2	Staphylococcus aureus	MW2
GCA_000011285	SSU_1	5	Streptococcus pyogenes SSI-1	Streptococcus pyogenes	SSI-1
GCA_000011305	SSU_1:SSU_2	4:1	Corynebacterium efficiens YS-314	Corynebacterium efficiens	YS-314
GCA_000011325	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	2:1:1:1:1	Corynebacterium glutamicum ATCC 13032	Corynebacterium glutamicum	ATCC 13032
GCA_000011345	SSU_1	1	Thermosynechococcus elongatus BP-1	Thermosynechococcus elongatus	BP-1
GCA_000011365	SSU_1	1	Bradyrhizobium diazoefficiens USDA 110	Bradyrhizobium diazoefficiens	USDA110
GCA_000011385	SSU_1	1	Gloeobacter violaceus PCC 7421	Gloeobacter violaceus	PCC 7421
GCA_000011405	SSU_1	3	Francisella tularensis subsp. holarctica OSU18	Francisella tularensis	OSU18
GCA_000011445	SSU_1:SSU_2	1:1	Mycoplasma mycoides subsp. mycoides SC str. PG1	Mycoplasma mycoides	PG1
GCA_000011465	SSU_1:SSU_2	1:1	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Prochlorococcus marinus	MED4
GCA_000011485	SSU_1:SSU_2	2:1	Prochlorococcus marinus str. MIT 9313	Prochlorococcus marinus	MIT9313
GCA_000011505	SSU_2:SSU_1:SSU_3	3:1:1	Staphylococcus aureus subsp. aureus MRSA252	Staphylococcus aureus	MRSA252
GCA_000011525	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Staphylococcus aureus subsp. aureus MSSA476	Staphylococcus aureus	MSSA476
GCA_000011545	SSU_3:SSU_1:SSU_2	2:1:1	Burkholderia pseudomallei K96243	Burkholderia pseudomallei	K96243
GCA_000011585	SSU_1:SSU_2	2:1	Methanococcus maripaludis S2	Methanococcus maripaludis	S2
GCA_000011605	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Pectobacterium atrosepticum SCRI1043	Pectobacterium atrosepticum	SCRI1043
GCA_000011625	SSU_3:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_11:SSU_6:SSU_7:SSU_12:SSU_4	2:1:1:1:1:1:1:1:1:1:1:1	Bacillus cereus E33L	Bacillus cereus	E33L
GCA_000011645	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Bacillus licheniformis DSM 13 = ATCC 14580	Bacillus licheniformis	ATCC 14580; DSM 13
GCA_000011665	SSU_2:SSU_1	5:1	Streptococcus pyogenes MGAS10394	Streptococcus pyogenes	MGAS10394
GCA_000011685	SSU_1	4	Gluconobacter oxydans 621H	Gluconobacter oxydans	621H
GCA_000011705	SSU_1:SSU_2	3:1	Burkholderia mallei ATCC 23344	Burkholderia mallei	ATCC 23344
GCA_000011725	SSU_1	2	Helicobacter pylori 51	Helicobacter pylori	51
GCA_000011745	SSU_1	1	Candidatus Blochmannia pennsylvanicus str. BPEN	Candidatus Blochmannia	BPEN
GCA_000011765	SSU_1	6	Streptococcus pyogenes MGAS5005	Streptococcus pyogenes	MGAS5005
GCA_000011785	SSU_2:SSU_1:SSU_3	3:1:1	Histophilus somni 129PT	Histophilus somni	129PT
GCA_000011805	SSU_2:SSU_1:SSU_5:SSU_6:SSU_7:SSU_3:SSU_4	5:2:1:1:1:1:1	Aliivibrio fischeri ES114	Aliivibrio fischeri	ES114
GCA_000011825	SSU_2:SSU_1:SSU_3	4:1:1	Streptococcus thermophilus LMG 18311	Streptococcus thermophilus	LMG 18311
GCA_000011845	SSU_2:SSU_1	5:1	Streptococcus thermophilus CNRZ1066	Streptococcus thermophilus	CNRZ1066
GCA_000011865	SSU_1	3	Campylobacter jejuni RM1221	Campylobacter jejuni	RM1221
GCA_000011885	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	3:1:1:1:1	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	Salmonella enterica	ATCC 9150
GCA_000011905	SSU_1	1	Dehalococcoides mccartyi 195	Dehalococcoides mccartyi	195
GCA_000011925	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Staphylococcus epidermidis RP62A	Staphylococcus epidermidis	RP62A
GCA_000011965	SSU_1	3	Ruegeria pomeroyi DSS-3	Ruegeria pomeroyi	DSS-3
GCA_000011985	SSU_2:SSU_1	3:1	Lactobacillus acidophilus NCFM	Lactobacillus acidophilus	NCFM
GCA_000012005	SSU_1	7	Shigella dysenteriae Sd197	Shigella dysenteriae	Sd197
GCA_000012025	SSU_2:SSU_3:SSU_1	4:2:1	Shigella boydii Sb227	Shigella boydii	Sb227
GCA_000012045	SSU_1:SSU_2:SSU_3	4:1:1	Staphylococcus aureus subsp. aureus COL	Staphylococcus aureus	COL
GCA_000012085	SSU_1	1	Borrelia turicatae 91E135	Borrelia turicatae	9.1E+136
GCA_000012105	SSU_1	2	Xanthomonas campestris pv. campestris str. 8004	Xanthomonas campestris	8004
GCA_000012125	SSU_1	2	Chlamydia trachomatis A/HAR-13	Chlamydia trachomatis	A/HAR-13
GCA_000012145	SSU_1	1	Rickettsia felis URRWXCal2	Rickettsia felis	URRWXCal2; California 2
GCA_000012165	SSU_2:SSU_1	4:2	Streptococcus pyogenes MGAS6180	Streptococcus pyogenes	MGAS6180
GCA_000012185	SSU_2:SSU_1:SSU_3	4:1:1	Haemophilus influenzae 86-028NP	Haemophilus influenzae	86-028NP
GCA_000012205	SSU_1	5	Pseudomonas savastanoi pv. phaseolicola 1448A	Pseudomonas savastanoi	1448A; BAA-978
GCA_000012225	SSU_1:SSU_2	1:1	Aster yellows witches'-broom phytoplasma AYWB	Aster yellows	AYWB
GCA_000012245	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Pseudomonas syringae pv. syringae B728a	Pseudomonas syringae	B728a
GCA_000012265	SSU_1:SSU_2	4:1	Pseudomonas protegens Pf-5	Pseudomonas protegens	Pf-5
GCA_000012285	SSU_1	1	Sulfolobus acidocaldarius DSM 639	Sulfolobus acidocaldarius	DSM 639
GCA_000012305	SSU_2:SSU_1	3:1	Psychrobacter arcticus 273-4	Psychrobacter arcticus	273-4
GCA_000012325	SSU_1:SSU_3:SSU_2:SSU_4	4:3:1:1	Colwellia psychrerythraea 34H	Colwellia psychrerythraea	34H; BAA-681
GCA_000012345	SSU_1	1	Candidatus Pelagibacter ubique HTCC1062	Candidatus Pelagibacter	HTCC1062
GCA_000012365	SSU_2:SSU_1	3:1	Burkholderia thailandensis E264	Burkholderia thailandensis	E264; ATCC 700388
GCA_000012385	SSU_1	1	Rickettsia bellii RML369-C	Rickettsia bellii	RML369-C
GCA_000012405	SSU_3:SSU_1:SSU_2	2:1:1	Thermobifida fusca YX	Thermobifida fusca	YX
GCA_000012425	SSU_1	4	Dechloromonas aromatica RCB	Dechloromonas aromatica	RCB
GCA_000012445	SSU_1:SSU_2	5:1	Pseudomonas fluorescens Pf0-1	Pseudomonas fluorescens	Pf0-1
GCA_000012465	SSU_1	1	Prochlorococcus marinus str. NATL2A	Prochlorococcus marinus	NATL2A
GCA_000012485	SSU_1:SSU_2	1:1	Pelodictyon luteolum DSM 273	Pelodictyon luteolum	DSM 273
GCA_000012505	SSU_1:SSU_2	1:1	Synechococcus sp. CC9902	Synechococcus sp.	CC9902
GCA_000012525	SSU_1	2	Synechococcus elongatus PCC 7942	Synechococcus elongatus	PCC 7942
GCA_000012545	SSU_1	4	Methanosphaera stadtmanae DSM 3091	Methanosphaera stadtmanae	DSM 3091
GCA_000012565	SSU_1	1	Ehrlichia canis str. Jake	Ehrlichia canis	Jake
GCA_000012605	SSU_1	3	Hydrogenovibrio crunogenus XCL-2	Hydrogenovibrio crunogenus	XCL-2
GCA_000012625	SSU_1	2	Synechococcus sp. CC9605	Synechococcus sp.	CC9605
GCA_000012645	SSU_1	1	Prochlorococcus marinus str. MIT 9312	Prochlorococcus marinus	MIT 9312
GCA_000012665	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Desulfovibrio alaskensis G20	Desulfovibrio alaskensis	G20
GCA_000012685	SSU_1	4	Myxococcus xanthus DK 1622	Myxococcus xanthus	DK 1622
GCA_000012705	SSU_2:SSU_1	5:2	Streptococcus agalactiae A909	Streptococcus agalactiae	A909
GCA_000012725	SSU_1	1	Nitrobacter winogradskyi Nb-255	Nitrobacter winogradskyi	Nb-255
GCA_000012745	SSU_1:SSU_2	1:1	Thiobacillus denitrificans ATCC 25259	Thiobacillus denitrificans	ATCC 25259
GCA_000012765	SSU_1:SSU_2	1:1	Mycoplasma capricolum subsp. capricolum ATCC 27343	Mycoplasma capricolum	ATCC 27343
GCA_000012785	SSU_1:SSU_2	3:1	Burkholderia pseudomallei 1710b	Burkholderia pseudomallei	1710b
GCA_000012805	SSU_1	2	Nitrosococcus oceani ATCC 19707	Nitrosococcus oceani	ATCC 19707
GCA_000012825	SSU_6:SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1:1	Bacteroides vulgatus ATCC 8482	Bacteroides vulgatus	ATCC 8482
GCA_000012845	SSU_1:SSU_2:SSU_3	3:2:2	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis	ATCC 8503
GCA_000012865	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Carboxydothermus hydrogenoformans Z-2901	Carboxydothermus hydrogenoformans	Z-2901
GCA_000012885	SSU_1:SSU_2	1:1	Pelobacter carbinolicus DSM 2380	Pelobacter carbinolicus	DSM 2380
GCA_000012925	SSU_1	2	Geobacter metallireducens GS-15	Geobacter metallireducens	GS-15
GCA_000012945	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	2:1:1:1:1	Burkholderia lata	Burkholderia lata	383
GCA_000012965	SSU_1	4	Sulfurimonas denitrificans DSM 1251	Sulfurimonas denitrificans	DSM 1251
GCA_000012985	SSU_1	5	Hahella chejuensis KCTC 2396	Hahella chejuensis	KCTC 2396
GCA_000013005	SSU_1	1	Erythrobacter litoralis HTCC2594	Erythrobacter litoralis	HTCC2594
GCA_000013025	SSU_1	1	Hyphomonas neptunium ATCC 15444	Hyphomonas neptunium	ATCC 15444
GCA_000013045	SSU_1	1	Salinibacter ruber DSM 13855	Salinibacter ruber	DSM 13855; M31
GCA_000013065	SSU_5:SSU_4:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3	4:4:1:1:1:1:1	Bacillus cereus Q1	Bacillus cereus	Q1
GCA_000013085	SSU_1	4	Rhodospirillum rubrum ATCC 11170	Rhodospirillum rubrum	ATCC 11170
GCA_000013105	SSU_1	1	Moorella thermoacetica ATCC 39073	Moorella thermoacetica	ATCC 39073
GCA_000013125	SSU_1	1	Anaplasma phagocytophilum str. HZ	Anaplasma phagocytophilum	HZ
GCA_000013145	SSU_1	1	Ehrlichia chaffeensis str. Arkansas	Ehrlichia chaffeensis	Arkansas
GCA_000013165	SSU_1	1	Neorickettsia sennetsu str. Miyayama	Neorickettsia sennetsu	Miyayama
GCA_000013185	SSU_1	2	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Baumannia cicadellinicola	Hc (Homalodisca coagulata)
GCA_000013205	SSU_1	2	Synechococcus sp. JA-3-3Ab	Synechococcus sp.	JA-3-3Ab
GCA_000013225	SSU_1	2	Synechococcus sp. JA-2-3B'a(2-13)	Synechococcus sp.	JA-2-3B'a(2-13)
GCA_000013245	SSU_1	2	Helicobacter pylori HPAG1	Helicobacter pylori	HPAG1
GCA_000013265	SSU_5:SSU_3:SSU_1:SSU_2:SSU_4	2:2:1:1:1	Escherichia coli UTI89	Escherichia coli	UTI89
GCA_000013285	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Clostridium perfringens ATCC 13124	Clostridium perfringens	ATCC 13124
GCA_000013305	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	3:1:1:1:1	Escherichia coli 536	Escherichia coli	536
GCA_000013325	SSU_1	3	Novosphingobium aromaticivorans DSM 12444	Novosphingobium aromaticivorans	DSM 12444
GCA_000013345	SSU_1	2	Frankia casuarinae	Frankia casuarinae	CcI3
GCA_000013365	SSU_1	1	Rhodopseudomonas palustris HaA2	Rhodopseudomonas palustris	HaA2
GCA_000013385	SSU_1	2	Anaeromyxobacter dehalogenans 2CP-C	Anaeromyxobacter dehalogenans	2CP-C
GCA_000013405	SSU_1	1	Syntrophus aciditrophicus SB	Syntrophus aciditrophicus	SB
GCA_000013425	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus	NCTC 8325
GCA_000013445	SSU_2:SSU_1:SSU_3	2:1:1	Methanospirillum hungatei JF-1	Methanospirillum hungatei	JF-1
GCA_000013465	SSU_1:SSU_2:SSU_3	3:1:1	Staphylococcus aureus subsp. aureus USA300_FPR3757	Staphylococcus aureus	USA300_FPR3757
GCA_000013485	SSU_2:SSU_1	4:2	Streptococcus pyogenes MGAS9429	Streptococcus pyogenes	MGAS9429
GCA_000013505	SSU_2:SSU_1	4:2	Streptococcus pyogenes MGAS10270	Streptococcus pyogenes	MGAS10270
GCA_000013525	SSU_3:SSU_1:SSU_2	3:2:1	Streptococcus pyogenes MGAS2096	Streptococcus pyogenes	MGAS2096
GCA_000013545	SSU_3:SSU_1:SSU_2	3:2:1	Streptococcus pyogenes MGAS10750	Streptococcus pyogenes	MGAS10750
GCA_000013565	SSU_1	1	Jannaschia sp. CCS1	Jannaschia sp.	CCS1
GCA_000013585	SSU_2:SSU_1:SSU_3	5:1:1	Shigella flexneri 5 str. 8401	Shigella flexneri	8401
GCA_000013605	SSU_1	2	Rhodoferax ferrireducens T118	Rhodoferax ferrireducens	DSM 15236
GCA_000013625	SSU_1	2	Janthinobacterium sp. Marseille	Janthinobacterium sp.	Marseille
GCA_000013645	SSU_1	6	Paraburkholderia xenovorans LB400	Paraburkholderia xenovorans	LB400
GCA_000013665	SSU_1:SSU_2	1:1	Saccharophagus degradans 2-40	Saccharophagus degradans	2-40
GCA_000013685	SSU_1	2	Rhodopseudomonas palustris BisB5	Rhodopseudomonas palustris	BisB5
GCA_000013705	SSU_1	2	Methylobacillus flagellatus KT	Methylobacillus flagellatus	KT
GCA_000013725	SSU_1	3	Methanococcoides burtonii DSM 6242	Methanococcoides burtonii	DSM 6242
GCA_000013745	SSU_1	2	Rhodopseudomonas palustris BisB18	Rhodopseudomonas palustris	BisB18
GCA_000013765	SSU_5:SSU_4:SSU_1:SSU_2:SSU_6:SSU_3	2:2:1:1:1:1	Shewanella denitrificans OS217	Shewanella denitrificans	OS217
GCA_000013785	SSU_2:SSU_1	3:1	Pseudomonas stutzeri A1501	Pseudomonas stutzeri	A1501
GCA_000013805	SSU_1:SSU_2:SSU_3	5:1:1	Yersinia pestis Nepal516	Yersinia pestis	Nepal516
GCA_000013825	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	3:1:1:1:1	Yersinia pestis Antiqua	Yersinia pestis	Antiqua
GCA_000013865	SSU_1	1	Polaromonas sp. JS666	Polaromonas sp.	JS666
GCA_000013885	SSU_1	1	Nitrobacter hamburgensis X14	Nitrobacter hamburgensis	X14
GCA_000013905	SSU_1	4	Psychrobacter cryohalolentis K5	Psychrobacter cryohalolentis	K5
GCA_000013925	SSU_1	1	Mycobacterium ulcerans Agy99	Mycobacterium ulcerans	Agy99
GCA_000013945	SSU_1:SSU_2	1:1	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	Leptospira borgpetersenii	L550
GCA_000013965	SSU_1	2	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	Leptospira borgpetersenii	JB197
GCA_000013985	SSU_1	1	Sphingopyxis alaskensis RB2256	Sphingopyxis alaskensis	RB2256
GCA_000014005	SSU_1	1	Candidatus Koribacter versatilis Ellin345	Candidatus Koribacter	Ellin345
GCA_000014025	SSU_1	5	Arcobacter butzleri RM4018	Arcobacter butzleri	RM4018
GCA_000014045	SSU_1	1	Roseobacter denitrificans OCh 114	Roseobacter denitrificans	OCh 114
GCA_000014065	SSU_1	5	Ruegeria sp. TM1040	Ruegeria sp.	TM1040
GCA_000014085	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	2:1:1:1:1	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia	AU 1054
GCA_000014105	SSU_1:SSU_2	3:1	Neisseria meningitidis 053442	Neisseria meningitidis	53442
GCA_000014125	SSU_4:SSU_2:SSU_3:SSU_1	4:3:2:1	Clostridium novyi NT	Clostridium novyi	NT
GCA_000014145	SSU_1	3	Cytophaga hutchinsonii ATCC 33406	Cytophaga hutchinsonii	ATCC 33406
GCA_000014165	SSU_1:SSU_2	1:1	Mycobacterium sp. MCS	Mycobacterium sp.	MCS
GCA_000014185	SSU_1	1	Rubrobacter xylanophilus DSM 9941	Rubrobacter xylanophilus	DSM 9941
GCA_000014205	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Streptococcus sanguinis SK36	Streptococcus sanguinis	SK36
GCA_000014225	SSU_2:SSU_1	3:2	Pseudoalteromonas atlantica T6c	Pseudoalteromonas atlantica	T6c
GCA_000014245	SSU_1	2	Chelativorans sp. BNC1	Chelativorans sp.	BNC1
GCA_000014265	SSU_1	2	Trichodesmium erythraeum IMS101	Trichodesmium erythraeum	IMS101
GCA_000014285	SSU_1	3	Granulibacter bethesdensis CGDNIH1	Granulibacter bethesdensis	CGDNIH1
GCA_000014305	SSU_1	4	Streptococcus suis 05ZYH33	Streptococcus suis	05ZYH33
GCA_000014325	SSU_1:SSU_2	3:1	Streptococcus suis 98HAH33	Streptococcus suis	98HAH33
GCA_000014345	SSU_1	1	Rickettsia canadensis str. McKiel	Rickettsia canadensis	McKiel
GCA_000014365	SSU_1	4	Streptococcus pneumoniae D39	Streptococcus pneumoniae	D39
GCA_000014385	SSU_1	2	Oenococcus oeni PSU-1	Oenococcus oeni	PSU-1
GCA_000014405	SSU_2:SSU_5:SSU_8:SSU_1:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	Lactobacillus delbrueckii	ATCC BAA-365
GCA_000014425	SSU_1	6	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus gasseri	ATCC 33323
GCA_000014445	SSU_1	4	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Leuconostoc mesenteroides	ATCC 8293
GCA_000014465	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Lactobacillus brevis ATCC 367	Lactobacillus brevis	ATCC 367
GCA_000014485	SSU_3:SSU_2:SSU_1	3:2:1	Streptococcus thermophilus LMD-9	Streptococcus thermophilus	LMD-9
GCA_000014505	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Pediococcus pentosaceus ATCC 25745	Pediococcus pentosaceus	ATCC 25745
GCA_000014525	SSU_4:SSU_1:SSU_2:SSU_3	2:1:1:1	Lactobacillus paracasei ATCC 334	Lactobacillus paracasei	ATCC 334
GCA_000014545	SSU_1:SSU_2	5:1	Lactococcus lactis subsp. cremoris SK11	Lactococcus lactis	SK11
GCA_000014565	SSU_1	4	Rhodococcus jostii RHA1	Rhodococcus jostii	RHA1
GCA_000014585	SSU_1:SSU_2	1:1	Synechococcus sp. CC9311	Synechococcus sp.	CC9311
GCA_000014605	SSU_1	3	Francisella tularensis subsp. holarctica OSU18	Francisella tularensis	OSU18
GCA_000014625	SSU_1	4	Pseudomonas aeruginosa UCBPP-PA14	Pseudomonas aeruginosa	UCBPP-PA14
GCA_000014645	SSU_1:SSU_2	2:1	Francisella tularensis subsp. novicida U112	Francisella tularensis	U112
GCA_000014665	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Shewanella sp. MR-7	Shewanella sp.	MR-7
GCA_000014685	SSU_1:SSU_5:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	3:1:1:1:1:1:1	Shewanella sp. MR-4	Shewanella sp.	MR-4
GCA_000014705	SSU_1:SSU_2	8:1	Shewanella frigidimarina NCIMB 400	Shewanella frigidimarina	NCIMB 400
GCA_000014725	SSU_1:SSU_2:SSU_3	1:1:1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Syntrophomonas wolfei	Goettingen G311
GCA_000014745	SSU_1	2	Maricaulis maris MCS10	Maricaulis maris	MCS10
GCA_000014765	SSU_1	1	Nitrosomonas eutropha C91	Nitrosomonas eutropha	C91
GCA_000014785	SSU_1:SSU_2	1:1	Alkalilimnicola ehrlichii MLHE-1	Alkalilimnicola ehrlichii	MLHE-1
GCA_000014805	SSU_2:SSU_1:SSU_3	8:1:1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila	ATCC 7966
GCA_000014825	SSU_1	2	Rhodopseudomonas palustris BisA53	Rhodopseudomonas palustris	BisA53
GCA_000014865	SSU_2:SSU_1	2:1	Magnetococcus marinus MC-1	Magnetococcus marinus	MC-1
GCA_000014885	SSU_2:SSU_5:SSU_1:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1	Shewanella piezotolerans WP3	Shewanella piezotolerans	WP3
GCA_000014905	SSU_1	2	Candidatus Solibacter usitatus Ellin6076	Candidatus Solibacter	Ellin6076
GCA_000014925	SSU_1	6	Paenarthrobacter aurescens TC1	Paenarthrobacter aurescens	TC1
GCA_000014945	SSU_1	2	Methanothrix thermoacetophila PT	Methanothrix thermoacetophila	PT
GCA_000014965	SSU_1:SSU_2	1:1	Syntrophobacter fumaroxidans MPOB	Syntrophobacter fumaroxidans	MPOB
GCA_000014985	SSU_1	1	Mycobacterium avium 104	Mycobacterium avium	104
GCA_000015005	SSU_1	2	Mycolicibacterium smegmatis MC2 155	Mycolicibacterium smegmatis	MC2 155
GCA_000015025	SSU_1	1	Acidothermus cellulolyticus 11B	Acidothermus cellulolyticus	11B; ATCC 43068
GCA_000015045	SSU_1	4	Pelobacter propionicus DSM 2379	Pelobacter propionicus	DSM 2379
GCA_000015065	SSU_3:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_4	5:1:1:1:1:1:1:1:1:1	Bacillus thuringiensis str. Al Hakam	Bacillus thuringiensis	Al Hakam
GCA_000015085	SSU_1	3	Campylobacter fetus subsp. fetus 82-40	Campylobacter fetus	82-40
GCA_000015105	SSU_1	1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	Candidatus Ruthia	Cm
GCA_000015125	SSU_1	2	Chlorobium phaeobacteroides DSM 266	Chlorobium phaeobacteroides	DSM 266
GCA_000015145	SSU_1	1	Hyperthermus butylicus DSM 5456	Hyperthermus butylicus	DSM 5456
GCA_000015165	SSU_1	2	Bradyrhizobium sp. BTAi1	Bradyrhizobium sp.	BTAi1
GCA_000015185	SSU_3:SSU_2:SSU_5:SSU_1:SSU_4	3:2:1:1:1	Shewanella sp. W3-18-1	Shewanella sp.	W3-18-1
GCA_000015205	SSU_1	1	Pyrobaculum islandicum DSM 4184	Pyrobaculum islandicum	DSM 4184
GCA_000015225	SSU_1	1	Thermofilum pendens Hrk 5	Thermofilum pendens	Hrk 5
GCA_000015245	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	4:1:1:1:1	Shewanella amazonensis SB2B	Shewanella amazonensis	SB2B
GCA_000015265	SSU_1	2	Nocardioides sp. JS614	Nocardioides sp.	JS614
GCA_000015285	SSU_4:SSU_1:SSU_3:SSU_5:SSU_2:SSU_6	3:2:2:1:1:1	Psychromonas ingrahamii 37	Psychromonas ingrahamii	37
GCA_000015305	SSU_1:SSU_2	1:1	Mycolicibacterium vanbaalenii PYR-1	Mycolicibacterium vanbaalenii	PYR-1
GCA_000015325	SSU_1	3	Acidovorax citrulli AAC00-1	Acidovorax citrulli	AAC00-1
GCA_000015345	SSU_1	3	Dichelobacter nodosus VCS1703A	Dichelobacter nodosus	VCS1703A
GCA_000015365	SSU_1:SSU_2:SSU_3	1:1:1	Marinobacter hydrocarbonoclasticus VT8	Marinobacter hydrocarbonoclasticus	VT8
GCA_000015385	SSU_1	4	Lactobacillus helveticus DPC 4571	Lactobacillus helveticus	DPC 4571
GCA_000015405	SSU_1:SSU_2	1:1	Mycobacterium sp. KMS	Mycobacterium sp.	KMS
GCA_000015425	SSU_1	5	Acinetobacter baumannii ATCC 17978	Acinetobacter baumannii	ATCC 17978
GCA_000015445	SSU_1	2	Bartonella bacilliformis KC583	Bartonella bacilliformis	KC583; ATCC 35685
GCA_000015465	SSU_1	5	Burkholderia mallei SAVP1	Burkholderia mallei	SAVP1
GCA_000015485	SSU_1:SSU_2	4:1	Desulfovibrio vulgaris DP4	Desulfovibrio vulgaris	DP4
GCA_000015505	SSU_1	2	Polaromonas naphthalenivorans CJ2	Polaromonas naphthalenivorans	CJ2
GCA_000015525	SSU_1:SSU_2	2:1	Campylobacter jejuni subsp. jejuni 81-176	Campylobacter jejuni	81-176
GCA_000015545	SSU_1	3	Acidovorax sp. JS42	Acidovorax sp.	JS42
GCA_000015565	SSU_1:SSU_2	2:1	Verminephrobacter eiseniae EF01-2	Verminephrobacter eiseniae	EF01-2
GCA_000015585	SSU_1:SSU_2	1:1	Halorhodospira halophila SL1	Halorhodospira halophila	SL1
GCA_000015605	SSU_1	4	Burkholderia mallei NCTC 10229	Burkholderia mallei	NCTC 10229
GCA_000015625	SSU_1	4	Burkholderia mallei NCTC 10247	Burkholderia mallei	NCTC 10247
GCA_000015645	SSU_1	1	Prochlorococcus marinus str. AS9601	Prochlorococcus marinus	AS9601
GCA_000015665	SSU_1	1	Prochlorococcus marinus str. MIT 9515	Prochlorococcus marinus	MIT 9515
GCA_000015685	SSU_1	1	Prochlorococcus marinus str. NATL1A	Prochlorococcus marinus	NATL1A
